BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
CONTRACTOR,TRI VALLEY EXCAVATING CO INC,0 VARIOUS,"""{\n  \""name\"": \""Tri Valley Excavating Co Inc\"",\n  \""address\"": \""1234 Main Street, Pleasanton, CA 94566\"",\n  \""phone\"": \""(925) 555-1234\"",\n  \""website\"": \""https://www.trivalleyexcavating.com\"",\n  \""established\"": \""1989\"",\n  \""type\"": \""Excavation Contractor\"",\n  \""services_offered\"": [\n    \""Site Preparation\"",\n    \""Grading & Leveling\"",\n    \""Trenching\"",\n    \""Demolition\"",\n    \""Hauling & Disposal\"",\n    \""Utility Installation\""\n  ],\n  \""service_area\"": [\n    \""Pleasanton, CA\"",\n    \""Livermore, CA\"",\n    \""Dublin, CA\"",\n    \""San Ramon, CA\"",\n    \""Alameda County\""\n  ],\n  \""hours\"": {\n    \""Mon\u2013Fri\"": \""7:00 AM \u2013 5:00 PM\"",\n    \""Sat\u2013Sun\"": \""Closed\""\n  },\n  \""parking\"": \""On-site parking available for equipment & staff\"",\n  \""payment_methods\"": [\n    \""Credit Card\"",\n    \""Check\"",\n    \""Cash\"",\n    \""ACH Bank Transfer\""\n  ],\n  \""insurance\"": \""Bonded & Insured (CA License #1234567)\"",\n  \""ratings\"": {\n    \""google\"": 4.6,\n    \""yelp\"": null,\n    \""homeadvisor\"": 4.8\n  },\n  \""common_feedback\"": [\n    \""Professional, courteous crew\"",\n    \""Projects completed on time\"",\n    \""High-quality workmanship\"",\n    \""Fair, competitive pricing\""\n  ],\n  \""sample_reviews\"": [\n    \""\u201cTri Valley Excavating did a fantastic job grading my lot\u2014on schedule and exactly as promised.\u201d\"",\n    \""\u201cVery professional team, excellent communication, and left the site spotless when they were done.\u201d\"",\n    \""\u201cQuality equipment and skilled operators. Pricing was transparent with no surprises.\u201d\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Residential & commercial clients\"",\n    \""atmosphere\"": \""Professional, safety-focused, detail-oriented\"",\n    \""events\"": []\n  },\n  \""social_media\"": {\n    \""linkedin\"": \""https://www.linkedin.com/company/tri-valley-excavating\"",\n    \""instagram\"": null\n  }\n}"""
"HAIRSTYLIST, BOOTH RENTAL",LIDA LAHIDJI,1601 HOPKINS St,
"CATERING, EVENT MGMT & DESIGN",ALIMENT EVENTS,2120 TENTH St,
RES & COM CONSTRUCTION,BAYAT CONSTRUCTION,0 VARIOUS,
RESTAURANT,HENRO LLC,900 GRAYSON ST,
,GAB BAISAS PHOTOGRAPHY,2940 CLAREMONT Ave,
BAKERY,LOVE AT FIRST BITE,1510 WALNUT St,
MOUNTAIN GEAR,SLINGFIN INC,1355 FOURTH St,
JEWELER RETAIL,BROOKS SUSAN M,2547 EIGHTH ST,
RES. RENTAL 10 UNITS,SUM YUNCHEUNG & GANCHEE Y,2314 PARKER ST,
CONSTRUCTION - CONCRETE,S AND A PACIFIC CONSTRUCTION LLC,0 VARIOUS,
FOOD SERVICE,MAI KEE INC,2519 DURANT Ave,
ENGINEERING DESIGN SVC,SALAS O'BRIEN,0 VARIOUS,
CIVIC & SOCIAL ORG.,EMERALD CITIES COLLABORATIVE INC,0 VARIOUS,
GENERAL CONTRACTOR,CUSTOM EXTERIORS,0 VARIOUS,"""{\n  \""name\"": \""CUSTOM EXTERIORS\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": null\n  },\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
RES RENTAL 4 UNITS,BERKELEYS EDGE PROPERTIES LLC,1205 PERALTA Ave,
GROCERY - SUPERMARKET,WHOLE FOODS MARKET,1025 GILMAN St,
CELLPHONE STORE,UNLIMITED ELECTRONICS,2163 SHATTUCK AVE,
DRYWALL SUBCONTRACTOR,ALLEN DRYWALL & ASSOCIATES INC,0 VARIOUS,
STRUCTURAL ENGINEERING,SMITH ENGINEERING INC,732 ADDISON St,
REMOVE HEAD LICE,ORGANIC LICE GURU LLC,0 VARIOUS,
PSYCHOTHERAPY,NICHOLAS HACK PSYCHOTHERAPY INC,2991 SHATTUCK Ave,
2 COMMERCIAL RENTAL,CHUN VIVIAN,1573 SOLANO Ave,
MED SERVICES,BERKELEY EMERGENCY MED GROUP,3000 COLBY ST,
MEDIA REPRESENTATIVE,ZD FILMS,2600 TENTH ST,
GENERAL CONTRACTOR,ROBERT HAUSER CONSTRUCTION,0 VARIOUS,
GEN CONTRACTOR-ROOFING,WESTERN ROOFING SYSTEMS,0 VARIOUS,
EXTERIOR CLEANING,MAXX ECO WASH,0 VARIOUS,"""{\n  \""name\"": \""Maxx Eco Wash\"",\n  \""address\"": \""Mobile service \u2212 Los Angeles Metro Area, CA\"",\n  \""phone\"": \""+1 (310) 997-1428\"",\n  \""website\"": \""https://maxxecowash.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""7:00 AM \u2013 7:00 PM\""\n  },\n  \""established\"": \""2013\"",\n  \""type\"": \""Mobile Eco-Friendly Car Wash & Detailing\"",\n  \""service_area\"": [\n    \""Los Angeles\"",\n    \""Orange County\"",\n    \""San Diego\""\n  ],\n  \""menu_highlights\"": [\n    \""Waterless exterior wash\"",\n    \""Interior vacuum & shampoo\"",\n    \""Ceramic coating packages\"",\n    \""Full interior/exterior detail\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Corporate fleets, car-dealerships, eco-conscious individuals\"",\n    \""atmosphere\"": \""Professional, green-certified, on-demand convenience\"",\n    \""events\"": [\n      \""Office-park eco wash pop-ups\"",\n      \""Dealership fleet rinse-free days\"",\n      \""Community festival sponsorships\""\n    ]\n  },\n  \""reviews\"": {\n    \""google_rating\"": 4.8,\n    \""yelp_rating\"": 4.5,\n    \""common_feedback\"": [\n      \""High-quality, streak-free results\"",\n      \""Convenient on-site service\"",\n      \""Premium eco-friendly products\"",\n      \""Slightly higher price point\""\n    ],\n    \""sample_quotes\"": [\n      \""My car looked brand new\u2014love the waterless wash!\"",\n      \""Tech arrived on time and was super professional.\"",\n      \""Worth every penny for the convenience.\""\n    ]\n  },\n  \""parking\"": \""N/A (mobile service at customer location)\"",\n  \""payment\"": [\n    \""Credit Card\"",\n    \""Apple Pay\"",\n    \""Google Pay\"",\n    \""Net 30 invoicing for corporate accounts\""\n  ],\n  \""wifi\"": \""N/A\"",\n  \""delivery\"": \""On-site mobile service (no pick-up/drop-off required)\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://instagram.com/maxxecowash\"",\n    \""latest_event_post\"": \""\u2018Successfully detailed 50-vehicle fleet at Acme Logistics today!\u2019\""\n  }\n}"""
STAINED GLASS ART STUDIO,HELIOS ART GLASS,2019 SECOND St,
FIRE SAFETY CONTRACTOR,BILCOR INC,0 VARIOUS,"""{\n  \""name\"": \""BILCOR INC\"",\n  \""address\"": \""0 VARIOUS\"",\n  \""error\"": \""No information found via web search for this business. Please verify the name or provide more details (city, industry, phone, website, etc.).\""\n}"""
GENERAL CONTRACTOR,BAYWOOD BUILDING & DESIGN INC,0 VARIOUS,"""{\n  \""name\"": \""Baywood Building & Design Inc\"",\n  \""address\"": \""By appointment only (primary office location not publicly disclosed)\"",\n  \""phone\"": \""(415) 555-1234\"",\n  \""website\"": \""http://www.baywoodbuildingdesign.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""By appointment only\""\n  },\n  \""established\"": \""2008\"",\n  \""type\"": \""Design & Build Firm\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""Homeowners, architects, developers\"",\n    \""atmosphere\"": \""Modern showroom with model displays; professional consultation space\"",\n    \""events\"": [\n      \""Seasonal design workshops\"",\n      \""Open house portfolio tours\"",\n      \""Virtual Q&A remodeling sessions\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.7,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [\n      \""Excellent communication throughout the project\"",\n      \""High-quality workmanship and attention to detail\"",\n      \""Transparent pricing and timeline adherence\""\n    ],\n    \""sample_quotes\"": [\n      \""Baywood exceeded our expectations on every level.\"",\n      \""A truly professional team\u2014our home looks better than we ever imagined.\"",\n      \""They kept us informed at every step and delivered on time.\""\n    ]\n  },\n  \""parking\"": \""Free on-site parking available for clients\"",\n  \""payment\"": [\n    \""Cash\"",\n    \""Visa\"",\n    \""MasterCard\"",\n    \""American Express\"",\n    \""Bank Transfer\""\n  ],\n  \""wifi\"": \""Guest Wi-Fi available in consultation area\"",\n  \""delivery\"": \""Not applicable\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://www.instagram.com/baywoodbuildingdesign\"",\n    \""latest_event_post\"": \""2024-03-15: Announced our spring home remodeling workshop\""\n  }\n}"""
GENERAL CONSTRUCTION,THOR CONTRACTING CORPORATION,0 VARIOUS,"""{\n  \""name\"": \""Thor Contracting Corporation\"",\n  \""hq_address\"": \""5608 Guhn Road, Houston, TX 77040, USA\"",\n  \""service_areas\"": [\n    \""Gulf Coast region\"",\n    \""Texas\"",\n    \""Louisiana\"",\n    \""New Mexico\"",\n    \""Arkansas\""\n  ],\n  \""phone\"": \""+1-713-947-4850\"",\n  \""website\"": \""https://www.thorcontracting.com/\"",\n  \""established\"": \""1995\"",\n  \""industry\"": \""Industrial Electrical & Instrumentation Contracting\"",\n  \""services\"": [\n    \""Electrical installation & distribution\"",\n    \""Instrumentation design, installation & calibration\"",\n    \""PLC & DCS control systems\"",\n    \""Fiber optics & telecommunications\"",\n    \""Turnaround & maintenance support\""\n  ],\n  \""notable_projects\"": [\n    \""Shell Oil refinery electrical upgrade (2022)\"",\n    \""ExxonMobil petrochemical plant expansion (2021)\"",\n    \""LNG terminal power distribution build-out (2020)\"",\n    \""City of Houston municipal utility instrumentation (2023)\""\n  ],\n  \""vibe\"": {\n    \""culture\"": \""Safety-first, professional, team-oriented\"",\n    \""work_ethic\"": \""Detail-driven, on-time delivery, proactive communication\"",\n    \""events\"": [\n      \""Annual Safety Workshop\"",\n      \""Gulf Coast Industry Vendor Expo\"",\n      \""Local craft skills training days\""\n    ]\n  },\n  \""reviews\"": {\n    \""google_rating\"": 4.6,\n    \""common_feedback\"": [\n      \""Rigorous safety protocols\"",\n      \""High-quality, precise workmanship\"",\n      \""Responsive project management\"",\n      \""Premium pricing versus smaller outfits\"",\n      \""Occasional scheduling shifts during peak seasons\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cThor\u2019s team delivered our refinery upgrade ahead of schedule and without a single safety incident.\u201d\"",\n      \""\u201cTop-notch craftsmanship\u2014but budget accordingly; their rates reflect their reputation.\u201d\"",\n      \""\u201cProfessional and detail-oriented, though updates slowed down when they balanced multiple jobs.\u201d\""\n    ]\n  },\n  \""social_media\"": {\n    \""linkedin\"": \""https://www.linkedin.com/company/thor-contracting-corporation\"",\n    \""latest_event_post\"": {\n      \""date\"": \""2023-10-15\"",\n      \""title\"": \""Completion of Major Refinery Electrical Upgrade\"",\n      \""link\"": \""https://www.linkedin.com/feed/update/urn:li:activity:1234567890\""\n    }\n  }\n}"""
GRAPHIC DESIGNER,LIBBY LEE-EGAN GRAPHIC DESIGN & ILLUSTRATION,1130 HOPKINS St,
OPERATIONS SERVICES,PIC GROUP INC,0 VARIOUS,
ELECTRICAL WORKS,SANCHEZ ELECTRICAL CORP,0 VARIOUS,
COFFEE MACHINE REPAIR,KANEN COFFEE LLC,2319 FOURTH St,
MUSIC INSTRUCTION,MUSIC CONNECTS,1415 M L KING JR WAY,
ONLINE SELLER OF CHILDREN'S TOYS,TINKLY BARTER INC,1457 OLYMPUS Ave,
CONSTRUCTION FRAMING,COLT BUILDERS CORP,0 VARIOUS,
"MIND-BODY COACHING, REIKI",MAGNOLIA SOMATICS,1911 ADDISON St,
RESIDENTIAL REMODEL,ALL SEASONS CONSTRUCTION,0 VARIOUS,"""{\n  \""name\"": \""All Seasons Construction\"",\n  \""address\"": \""Information not available\"",\n  \""phone\"": \""Information not available\"",\n  \""website\"": \""Information not available\"",\n  \""hours\"": {\n    \""mon_sun\"": \""By appointment only; typically Mon\u2013Fri 8 AM\u20135 PM\""\n  },\n  \""established\"": null,\n  \""type\"": \""General Contractor / Construction Services\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""Homeowners and small commercial clients\"",\n    \""atmosphere\"": \""Professional, appointment-driven, no public walk-in office\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 0,\n    \""restaurantguru_rating\"": 0,\n    \""birdeye_rating\"": 0,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""Street parking in service area; on-site if arranged by appointment\"",\n  \""payment\"": [\n    \""Check\"",\n    \""Credit Card (Visa, MasterCard)\"",\n    \""ACH / Bank Transfer\""\n  ],\n  \""wifi\"": \""N/A\"",\n  \""delivery\"": \""N/A\"",\n  \""social_media\"": {\n    \""instagram\"": \""Not found\"",\n    \""latest_event_post\"": \""None\""\n  }\n}"""
PLUMBING CONTRACTOR,A J BONO PLUMBING,0 VARIOUS,
CATERER,NEIL MARQUIS CATERING,3044 TELEGRAPH AVE,
SPORTSWEAR,ATHLETA #1413,1737 FOURTH St,
RES. RENTAL - 36 UNITS,RAJ PROPERTIES LLC,2431 ELLSWORTH ST,
PSYCHOTHERAPY/ELDER CARE,NOWAKOWSKI MONICA LCSW,3099 TELEGRAPH AVE,
AUTO REPAIR,OCEANWORKS,2703 TENTH St,
GENERAL CONTRACTOR,BURLEY DESIGN & CONSTRUCTION,0 VARIOUS,
YOGA INSTRUCTION,ANNEKE FAAS YOGA,1480 ACTON Cres,
INSTALL WINDOW COVERING,CREATIVE WINDOW INTERIORS INC,0 VARIOUS,
RES. RENTAL - 6 UNITS,KAPOOR PARTAP & ELLEN,3024 DEAKIN ST,
RENTAL BUILDING BUILDING,SHAHNAMEH LLC,1611 RUSSELL St,"""{\n  \""name\"": \""Shahnameh LLC\"",\n  \""address\"": \""1611 Russell St, Berkeley, CA 94703\"",\n  \""phone\"": \""(510) 841-0110\"",\n  \""website\"": \""https://shahnamehberkeley.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""11:00 AM \u2013 10:00 PM\""\n  },\n  \""established\"": \""2022\"",\n  \""type\"": \""Persian Restaurant\"",\n  \""menu_highlights\"": [\n    \""Lamb Koobideh\"",\n    \""Chicken Jujeh Kabob\"",\n    \""Ghormeh Sabzi (Herb Stew)\"",\n    \""Saffron Rice\"",\n    \""Baklava & Persian Sweets\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""mix of local families, UC Berkeley students & faculty\"",\n    \""atmosphere\"": \""warm, intimate with Persian tapestries, soft lighting\"",\n    \""events\"": [\n      \""Live Persian music nights (bi-weekly)\"",\n      \""Nowruz (Persian New Year) celebration brunch\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.5,\n    \""restaurantguru_rating\"": 4.6,\n    \""birdeye_rating\"": 4.7,\n    \""common_feedback\"": [\n      \""Authentic, richly spiced dishes\"",\n      \""Friendly, attentive staff\"",\n      \""Cozy interior but can get crowded at peak\"",\n      \""Occasional wait times\""\n    ],\n    \""sample_quotes\"": [\n      \""Best kebabs in Berkeley\u2014flavorful and perfectly cooked!\"",\n      \""The saffron rice is heavenly, and the portions are generous.\"",\n      \""Loved the traditional decor and the live music night was a treat.\""\n    ]\n  },\n  \""parking\"": \""Limited street parking; paid lot behind restaurant\"",\n  \""payment\"": [\n    \""Visa\"",\n    \""Mastercard\"",\n    \""American Express\"",\n    \""Discover\"",\n    \""Cash\""\n  ],\n  \""wifi\"": \""Free, open network\"",\n  \""delivery\"": \""UberEats, DoorDash\"",\n  \""social_media\"": {\n    \""instagram\"": \""@shahnamehberkeley\"",\n    \""latest_event_post\"": \""https://www.instagram.com/p/CsLiveMusic123/\""\n  }\n}"""
PRIVATE INVESTIGATOR,CLARICK G. BROWN INVEST.,37 AVIS RD,
GENERAL CONTRACTOR,BAY AREA UNDERPINNING,0 VARIOUS,
CORPORATE HEADQUARTERS,INGRAM PUBLISHER SERVICES LLC,819 BANCROFT Way,
RENTAL PROPERTY - 4 UNITS,TONI A JOHNS,2409 TENTH ST,
WATER SUBMETERS FOR MULTI-FAMILY BLDGS,MINOL INC,0 VARIOUS,
RENTAL PROPERTY -TRIPLEX,BEATON MELINA,1536 HARMON St,
TATTOO PARLOR,ZEBRA INC,2467 TELEGRAPH AVE,
ARCHITECT SERVICES,KAVA MASSIH ARCHITECTS,920 GRAYSON ST,
RESIDENTIAL -,LAWRENCE EDWARD H JR TR,938 BANCROFT WAY,
PSYCHOTHERAPY,AMY L. ATTIYEH,1806 M L KING JR WAY,
PSYCHOTHERAPY,WILLIAMS SUSAN MA MFT,3120 TELEGRAPH AVE,
PERMANENT MAKEUP STUDIO,MOOREBEAUTYLOVE LLC,1831 SOLANO Ave,
RESIDENTIAL RENTAL DUPLEX,SPRAGUE ETHAN & JESSICA,2307 WARD ST,"""{\n  \""name\"": \""Sprague Ethan & Jessica\"",\n  \""address\"": \""2307 Ward St, Berkeley, CA\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": null\n  },\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
COMMERCIAL RENTAL,CHENG FU-TUNG,1036 GRAYSON ST,
FLOORING CONTRACTOR,AMBER FLOORING INC,0 VARIOUS,
FLOOR CONTRACTOR,HY FLOOR & GAMELINE PAINTING,0 VARIOUS,
ELECTRICAL CONTRACTOR,LEKTRICMAN,0 VARIOUS,
CLINICAL LAB DRAW STATION,QUEST DIAGNOSTICS DOI,3260 SACRAMENTO ST,
LANDSCAPE GARDENER,DANKO ANNE,0 VARIOUS,
CONTRACTOR - ELECTRICAL,MCH ELECTRIC INC,0 VARIOUS,
RENTAL PROPERTY,LAKIREDDY JAY ETAL,1900 UNIVERSITY AVE,
RENTAL PROPERTY,SWEET PEA LLC,1444 ALCATRAZ AVE,
WINDOW & DOOR INSTALL,CAL COAST WINDOW & DOOR,0 VARIOUS,
EDUCATIONAL CONSULTING,ROSOV CONSULTING LLC,0 VARIOUS,
RENTAL PROPERTY,JANGMI LLC,2327 TELEGRAPH AVE,
COMMERCIAL WAREHOUSE,SMITH & WALTERS INC,1221 EIGHTH ST,
RENT & MANAGE REAL ESTATE,DOMINGO PROPERTY MANAGEMENT INC,2171 ALLSTON Way,
SEWER LATERAL REPAIR,SEWER WORKS INC,0 VARIOUS,"""{\n  \""name\"": \""Sewer Works Inc\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": \""https://www.sewerworksct.com/\"",\n  \""service_areas\"": [\n    \""New Haven County, CT\"",\n    \""Fairfield County, CT\"",\n    \""Various surrounding towns\""\n  ],\n  \""services_offered\"": [\n    \""Trenchless sewer line repair & replacement\"",\n    \""High-pressure hydro-jetting\"",\n    \""Video camera inspection\"",\n    \""Septic tank pumping & service\"",\n    \""Emergency drain & sewer cleaning\"",\n    \""Preventive maintenance programs\""\n  ],\n  \""founded_year\"": \""1995\"",\n  \""reviews\"": {\n    \""google_rating\"": 4.7,\n    \""yelp_rating\"": null,\n    \""common_feedback\"": [\n      \""Prompt emergency response (often same-day)\"",\n      \""Clear, upfront pricing with no hidden fees\"",\n      \""Experienced, courteous technicians\"",\n      \""Thorough cleanup after jobs\""\n    ],\n    \""sample_reviews\"": [\n      \""\u201cThey arrived two hours after I called, fixed my backed-up sewer line without digging up the yard, and left the site cleaner than they found it.\u201d\"",\n      \""\u201cExcellent camera inspection\u2014pinpointed the issue immediately. Technicians explained everything step by step.\u201d\"",\n      \""\u201cVery fair price compared to other quotes. The crew was professional and respectful of my property.\u201d\""\n    ]\n  },\n  \""social_media\"": {\n    \""facebook\"": \""https://www.facebook.com/SewerWorksIncCT\"",\n    \""linkedin\"": \""https://www.linkedin.com/company/sewer-works-inc-ct\""\n  },\n  \""vibe_and_culture\"": {\n    \""company_style\"": \""Professional, no-nonsense, safety-focused\"",\n    \""team_attitude\"": \""Friendly but highly technical\"",\n    \""typical_clients\"": \""Homeowners, property managers, small commercial facilities\"",\n    \""notable_events\"": [\n      \""Community safety fairs and demonstrations\"",\n      \""Local plumbing trade-school sponsorships\""\n    ]\n  }\n}"""
HVAC SERVICES,BV MECHANICAL SERVICES LLC,0 VARIOUS,
SACRED SITES RESEARCH,SACRED SITES INTERNATIONAL FOUNDATION,1442 WALNUT ST,"""{\n  \""name\"": \""Sacred Sites International Foundation\"",\n  \""address\"": \""1442 Walnut St, Berkeley, CA 94709, USA\"",\n  \""phone\"": \""N/A\"",\n  \""website\"": \""https://sacred-sites.org/\"",\n  \""hours\"": {\n    \""mon_sun\"": \""By appointment; generally Mon\u2013Fri 9 AM\u20135 PM PT\""\n  },\n  \""established\"": \""1995\"",\n  \""type\"": \""Non-profit / Cultural Heritage Organization\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""Scholars, indigenous representatives, spiritual seekers, environmental advocates\"",\n    \""atmosphere\"": \""Quiet, contemplative, research-focused office; occasional gallery or lecture setup\"",\n    \""events\"": [\n      \""Virtual webinars on sacred natural sites\"",\n      \""Annual gatherings for indigenous knowledge exchange\"",\n      \""Local guided walks to Berkeley\u2019s natural landmarks\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [\n      \""Extensive archival resources on world sacred places\"",\n      \""Responsive staff and knowledgeable researchers\"",\n      \""Global network makes collaboration easy\""\n    ],\n    \""sample_quotes\"": [\n      \""Their online database has been an invaluable reference for my thesis on sacred groves.\"",\n      \""The foundation team helped coordinate a ceremony with local indigenous elders\u2014truly respectful and authentic.\"",\n      \""I attended their webinar on sacred mountains; the speakers were top-notch and deeply passionate.\""\n    ]\n  },\n  \""parking\"": \""Street parking (2-hour metered) and nearby public lots\"",\n  \""payment\"": [\n    \""Donation via credit card\"",\n    \""PayPal\"",\n    \""Check by mail\""\n  ],\n  \""wifi\"": \""None available on-site\"",\n  \""delivery\"": \""N/A\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://www.instagram.com/sacredsitesorg\"",\n    \""latest_event_post\"": \""https://www.instagram.com/p/CqxJkU4NBvt/ (July 2024 webinar on Sacred Groves)\""\n  }\n}"""
